Designator,Mid X,Mid Y,Rotation,Layer
C1,131.5,-105.8551,270.0,top
C2,131.5,-101.5,270.0,top
CR1,146.0,-109.499999,0.0,top
J2,141.000001,-83.9165,0.0,top
J3,137.156299,-93.1604,90.0,top
R1,140.0,-94.5433,270.0,top
U1,137.11785,-103.3114,270.0,top
U2,146.149999,-97.749999,180.0,top
