Designator,Mid X,Mid Y,Rotation,Layer
D1,142.0,-91.0,90.0,top
D3,134.045,-93.85,0.0,top
J1,179.2484,-130.0186,180.0,top
J2,139.5,-128.465,270.0,top
K4,154.555,-85.74,270.0,top
Q1,138.0,-88.79,270.0,top
R3,133.5,-97.0,0.0,top
R50,183.68,-85.59,270.0,top
R51,137.8,-82.4,180.0,top
